cik_str,ticker,title,processed
52988,J,JACOBS SOLUTIONS INC.,False
48898,HUBB,HUBBELL INC,False
711404,COO,"COOPER COMPANIES, INC.",False
1048477,BMRN,BIOMARIN PHARMACEUTICAL INC,False
1022671,STLD,STEEL DYNAMICS INC,False
33213,EQT,EQT Corp,False
811156,CMS,CMS ENERGY CORP,False
860731,TYL,TYLER TECHNOLOGIES INC,False
1315098,RBLX,Roblox Corp,False
1324404,CF,"CF Industries Holdings, Inc.",False
1086222,AKAM,AKAMAI TECHNOLOGIES INC,False
912595,MAA,MID AMERICA APARTMENT COMMUNITIES INC.,False
9389,BALL,BALL Corp,False
912593,SUI,SUN COMMUNITIES INC,False
1013237,FDS,FACTSET RESEARCH SYSTEMS INC,False
1000697,WAT,WATERS CORP /DE/,False
1316835,BLDR,"Builders FirstSource, Inc.",False
1262823,WLK,WESTLAKE CORP,False
908937,SIRI,SIRIUS XM HOLDINGS INC.,False
101778,MRO,MARATHON OIL CORP,False
1783398,UWMC,UWM Holdings Corp,False
1002047,NTAP,"NetApp, Inc.",False
832101,IEX,IDEX CORP /DE/,False
217346,TXT,TEXTRON INC,False
1590955,PAYC,"Paycom Software, Inc.",False
861884,RS,RELIANCE STEEL & ALUMINUM CO,False
4127,SWKS,"SKYWORKS SOLUTIONS, INC.",False
1319161,WMG,Warner Music Group Corp.,False
764478,BBY,BEST BUY CO INC,False
922621,ERIE,ERIE INDEMNITY CO,False
1069183,AXON,"AXON ENTERPRISE, INC.",False
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,False
1324424,EXPE,"Expedia Group, Inc.",False
1552033,TRU,TransUnion,False
920522,ESS,"ESSEX PROPERTY TRUST, INC.",False
8818,AVY,Avery Dennison Corp,False
1722482,AVTR,"Avantor, Inc.",False
1562401,AMH,American Homes 4 Rent,False
1564408,SNAP,Snap Inc,False
29989,OMC,OMNICOM GROUP INC.,False
1754301,FOXA,Fox Corp,False
100517,UAL,"United Airlines Holdings, Inc.",False
60086,L,LOEWS CORP,False
1031308,BSY,BENTLEY SYSTEMS INC,False
1443646,BAH,Booz Allen Hamilton Holding Corp,False
73124,NTRS,NORTHERN TRUST CORP,False
1811074,TPL,Texas Pacific Land Corp,False
1674101,VRT,Vertiv Holdings Co,False
1679273,LW,"Lamb Weston Holdings, Inc.",False
105016,WSO,WATSCO INC,False
1883685,DKNG,DraftKings Inc.,False
898293,JBL,JABIL INC,False
1341766,CELH,"Celsius Holdings, Inc.",False
24545,TAP,MOLSON COORS BEVERAGE CO,False
1642896,IOT,Samsara Inc.,False
1022079,DGX,QUEST DIAGNOSTICS INC,False
1751008,APP,AppLovin Corp,False
1101302,ENTG,ENTEGRIS INC,False
910521,DECK,DECKERS OUTDOOR CORP,False
23217,CAG,CONAGRA BRANDS INC.,False
1660134,OKTA,"Okta, Inc.",False
945841,POOL,POOL CORP,False
1137789,STX,Seagate Technology Holdings plc,False
31791,RVTY,"REVVITY, INC.",False
1773383,DT,"Dynatrace, Inc.",False
1025378,WPC,W. P. Carey Inc.,False
1402436,SSNC,SS&C Technologies Holdings Inc,False
1611983,LBRDA,Liberty Broadband Corp,False
75677,PKG,PACKAGING CORP OF AMERICA,False
1601712,SYF,Synchrony Financial,False
1286681,DPZ,DOMINOS PIZZA INC,False
879169,INCY,INCYTE CORP,False
1065696,LKQ,LKQ CORP,False
790051,CSL,CARLISLE COMPANIES INC,False
1646972,ACI,"Albertsons Companies, Inc.",False
1069202,LII,LENNOX INTERNATIONAL INC,False
74208,UDR,"UDR, Inc.",False
93556,SWK,"STANLEY BLACK & DECKER, INC.",False
1897982,AZPN,"Aspen Technology, Inc.",False
895417,ELS,EQUITY LIFESTYLE PROPERTIES INC,False
1285785,MOS,MOSAIC CO,False
352541,LNT,ALLIANT ENERGY CORP,False
91419,SJM,J M SMUCKER Co,False
1634997,AGR,"Avangrid, Inc.",False
72331,NDSN,NORDSON CORP,False
864749,TRMB,TRIMBLE INC.,False
38777,BEN,FRANKLIN RESOURCES INC,False
1375365,SMCI,"Super Micro Computer, Inc.",False
1810806,U,Unity Software Inc.,False
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,False
1841666,APA,APA Corp,False
1849253,RYAN,"RYAN SPECIALTY HOLDINGS, INC.",False
1575965,GLPI,"Gaming & Leisure Properties, Inc.",False
16732,CPB,CAMPBELL SOUP CO,False
42888,GGG,GRACO INC,False
1056696,MANH,MANHATTAN ASSOCIATES INC,False
1711269,EVRG,"Evergy, Inc.",False
62996,MAS,MASCO CORP /DE/,False
1370946,OC,Owens Corning,False
849399,GEN,Gen Digital Inc.,False
1802768,RPRX,Royalty Pharma plc,False
110621,RPM,RPM INTERNATIONAL INC/DE/,False
1889539,CRBG,"Corebridge Financial, Inc.",False
877212,ZBRA,ZEBRA TECHNOLOGIES CORP,False
818686,TEVA,TEVA PHARMACEUTICAL INDUSTRIES LTD,False
1692819,VST,Vistra Corp.,False
1792044,VTRS,Viatris Inc,False
855658,LSCC,LATTICE SEMICONDUCTOR CORP,False
1046102,RBA,RB GLOBAL INC.,False
51434,IP,INTERNATIONAL PAPER CO /NEW/,False
868857,ACM,AECOM,False
1527166,CG,Carlyle Group Inc.,False
891103,MTCH,"Match Group, Inc.",False
866374,FLEX,FLEX LTD.,False
1331875,FNF,"Fidelity National Financial, Inc.",False
1145197,PODD,INSULET CORP,False
51644,IPG,"INTERPUBLIC GROUP OF COMPANIES, INC.",False
879101,KIM,KIMCO REALTY CORP,False
1564708,NWSA,NEWS CORP,False
1111711,NI,NISOURCE INC.,False
910606,REG,REGENCY CENTERS CORP,False
874761,AES,AES CORP,False
1032975,LOGI,LOGITECH INTERNATIONAL S.A.,False
1786352,BILL,"BILL Holdings, Inc.",False
1474432,PSTG,"Pure Storage, Inc.",False
914475,NBIX,NEUROCRINE BIOSCIENCES INC,False
779152,JKHY,JACK HENRY & ASSOCIATES INC,False
842023,TECH,BIO-TECHNE Corp,False
1468174,H,Hyatt Hotels Corp,False
1571283,REXR,"Rexford Industrial Realty, Inc.",False
895126,CHK,CHESAPEAKE ENERGY CORP,False
